movie,year,imdb,metascore,votes
The Lord of the Rings: The Two Towers,2002,8.8,87,1628347
Catch Me If You Can,2002,8.1,75,959337
The Pianist,2002,8.5,85,817318
Spider-Man,2002,7.4,73,806310
Cidade de Deus,2002,8.6,79,748509
Star Wars: Episode II - Attack of the Clones,2002,6.6,54,702096
Harry Potter and the Chamber of Secrets,2002,7.4,63,624128
Minority Report,2002,7.7,80,546679
The Bourne Identity,2002,7.9,68,543189
Ice Age,2002,7.5,61,478463
Gangs of New York,2002,7.5,72,438332
28 Days Later...,2002,7.5,73,409835
Men in Black II,2002,6.1,49,372132
Signs,2002,6.8,59,360912
The Ring,2002,7.1,57,346273
Equilibrium,2002,7.4,33,328216
The Transporter,2002,6.8,51,302383
Insomnia,2002,7.2,78,293785
8 Mile,2002,7.1,77,285735
Panic Room,2002,6.8,65,278646
Red Dragon,2002,7.2,60,272086
Resident Evil,2002,6.6,33,269862
Phone Booth,2002,7.1,56,267988
Road to Perdition,2002,7.7,72,266599
Chicago,2002,7.2,81,229579
Die Another Day,2002,6.1,56,218901
Blade II,2002,6.7,52,217166
A Walk to Remember,2002,7.3,35,210556
Austin Powers in Goldmember,2002,6.2,62,209332
Adaptation.,2002,7.7,83,192036
Lilo & Stitch,2002,7.3,73,188781
About a Boy,2002,7.1,75,183567
Ying xiong,2002,7.9,85,181083
xXx,2002,5.8,48,179883
25th Hour,2002,7.6,68,178446
Punch-Drunk Love,2002,7.3,78,164146
Bowling for Columbine,2002,8.0,72,144469
Mr. Deeds,2002,5.8,24,144455
We Were Soldiers,2002,7.1,65,141594
The Scorpion King,2002,5.5,45,138263
The Count of Monte Cristo,2002,7.7,61,137854
Reign of Fire,2002,6.2,39,136226
Irréversible,2002,7.3,51,134100
John Q,2002,7.0,30,133834
My Big Fat Greek Wedding,2002,6.6,62,131771
The Hours,2002,7.5,80,131668
About Schmidt,2002,7.2,85,128736
The Time Machine,2002,5.9,42,124762
Mou gaan dou,2002,8.0,75,124400
One Hour Photo,2002,6.8,64,123484
Two Weeks Notice,2002,6.1,42,118311
Treasure Planet,2002,7.1,60,117392
The Sum of All Fears,2002,6.4,45,115612
Sweet Home Alabama,2002,6.2,45,113399
Hable con ella,2002,7.9,86,112231
Scooby-Doo,2002,5.2,35,112182
Bend It Like Beckham,2002,6.7,66,110695
National Lampoon's Van Wilder,2002,6.4,26,110041
Ghost Ship,2002,5.5,28,100940
The Hot Chick,2002,5.5,29,95940
Jackass: The Movie,2002,6.6,42,94971
Secretary,2002,6.9,63,91280
Ali G Indahouse,2002,6.2,46,91220
Maid in Manhattan,2002,5.3,45,89811
Frida,2002,7.3,61,89704
Unfaithful,2002,6.7,63,89499
Confessions of a Dangerous Mind,2002,7.0,67,88334
Analyze That,2002,5.9,37,85968
